0,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean
2020-12-02 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,363.75,0.0,487.5,0.0,0.0,0.0,70.9375
2020-12-02 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.25,0.0,0.0,0.0,31.770833333333332
2020-12-02 06:50:00,0.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,65.75
2020-12-02 07:00:00,0.0,251.2,0.0,0.0,0.0,0.0,368.75,0.0,492.6,0.0,0.0,0.0,92.71250000000002
2020-12-02 07:10:00,0.0,320.75,0.0,0.0,0.0,0.0,0.0,0.0,777.0,0.0,0.0,0.0,91.47916666666667
2020-12-02 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.75,0.0,0.0,0.0,26.979166666666668
2020-12-02 07:30:00,0.0,723.6,0.0,0.0,0.0,0.0,410.5,0.0,596.0,0.0,0.0,0.0,144.17499999999998
2020-12-02 07:40:00,0.0,552.5,0.0,0.0,0.0,0.0,0.0,0.0,615.0,0.0,0.0,0.0,97.29166666666667
2020-12-02 07:50:00,0.0,621.5,0.0,0.0,0.0,0.0,0.0,0.0,708.25,0.0,0.0,0.0,110.8125
2020-12-02 08:00:00,0.0,585.25,0.0,0.0,0.0,0.0,0.0,0.0,986.6,0.0,0.0,0.0,130.98749999999998
2020-12-02 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,354.5,0.0,510.0,0.0,0.0,0.0,72.04166666666667
2020-12-02 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,0.0,0.0,0.0,41.083333333333336
2020-12-02 08:30:00,0.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,618.25,0.0,0.0,0.0,98.52083333333333
2020-12-02 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,359.25,0.0,586.0,0.0,0.0,0.0,78.77083333333333
2020-12-02 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.75,0.0,0.0,0.0,51.8125
2020-12-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,26.0
2020-12-02 09:10:00,0.0,150.4,0.0,0.0,0.0,0.0,0.0,0.0,542.2,0.0,0.0,0.0,57.71666666666667
2020-12-02 09:20:00,0.0,547.25,0.0,0.0,0.0,0.0,391.75,0.0,532.75,0.0,0.0,0.0,122.64583333333333
2020-12-02 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.25,0.0,0.0,0.0,27.770833333333332
2020-12-02 09:40:00,0.0,592.75,0.0,0.0,0.0,0.0,0.0,0.0,411.5,0.0,0.0,0.0,83.6875
2020-12-02 09:50:00,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,32.68333333333333
2020-12-02 10:00:00,0.0,690.75,0.0,0.0,0.0,0.0,298.4,0.0,342.75,0.0,0.0,0.0,110.99166666666667
2020-12-02 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.25,0.0,0.0,0.0,31.770833333333332
2020-12-02 10:20:00,0.0,447.8,0.0,0.0,0.0,0.0,0.0,0.0,390.6,0.0,0.0,0.0,69.86666666666667
2020-12-02 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.25,0.0,0.0,0.0,18.854166666666668
2020-12-02 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,293.8,0.0,486.75,0.0,0.0,0.0,65.04583333333333
2020-12-02 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.6,0.0,0.0,0.0,35.300000000000004
2020-12-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.75,0.0,0.0,0.0,21.145833333333332
2020-12-02 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,184.6,0.0,292.5,0.0,0.0,0.0,39.75833333333333
2020-12-02 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,132.75,0.0,475.25,0.0,0.0,0.0,50.666666666666664
2020-12-02 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,15.916666666666666
2020-12-02 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.75,0.0,0.0,0.0,41.5625
2020-12-02 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,446.0,0.0,225.5,0.0,0.0,0.0,55.958333333333336
2020-12-02 12:00:00,0.0,460.8,0.0,0.0,0.0,0.0,0.0,241.8,176.8,0.0,0.0,0.0,73.28333333333335
2020-12-02 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,283.25,1244.5,341.25,0.0,0.0,0.0,155.75
2020-12-02 12:20:00,0.0,1347.75,0.0,0.0,0.0,0.0,86.8,1243.25,359.0,0.0,0.0,0.0,253.0666666666667
2020-12-02 12:30:00,0.0,759.6,0.0,0.0,0.0,0.0,0.0,1245.25,213.25,0.0,0.0,0.0,184.84166666666667
2020-12-02 12:40:00,0.0,630.0,0.0,0.0,0.0,0.0,378.25,627.6,196.8,0.0,0.0,0.0,152.72083333333333
2020-12-02 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.75,231.0,0.0,0.0,0.0,122.3125
